駅コード	駅名	備考
02d4	矢田前	?
02d5	小柳	?
02d6	東青森	?
02d8	青森	
02fc	携帯端末	*
02fd	モバイルSuica	*
02fe	Suicaインターネットサービス	*
02ff	臨時窓口	*
0301	東京	#unused
0302	神田	#unused
0303	御茶ノ水	
0304	水道橋	
0306	飯田橋	
0307	市ケ谷	
0308	四ツ谷	
0309	信濃町	
030b	千駄ケ谷	
030c	代々木	
030d	新宿	
030e	大久保	
0310	東中野	
0311	中野	
0312	高円寺	
0313	阿佐ケ谷	
0315	荻窪	
0316	西荻窪	
0317	吉祥寺	
0318	三鷹	
031a	武蔵境	
031b	東小金井	
031c	武蔵小金井	
031d	国分寺	
031f	西国分寺	
0320	国立	
0322	立川	
0324	日野	
0325	豊田	
0327	八王子	
0328	西八王子	
0329	高尾	
032a	相模湖	
032c	藤野	
032d	上野原	
032e	四方津	
032f	梁川	
0331	鳥沢	
0332	猿橋	
0333	大月	
0335	初狩	
0337	笹子	
0339	甲斐大和	
033b	勝沼ぶどう郷	
033c	塩山	
033d	東山梨	
033e	山梨市	
0340	春日居町	
0341	石和温泉	
0342	酒折	
0343	甲府	
0345	竜王	
0346	塩崎	
0347	韮崎	
0348	新府	
0349	穴山	
034b	日野春	
034c	長坂	
034d	小淵沢	
034e	信濃境	
034f	富士見	
0350	すずらんの里	
0351	青柳	
0352	茅野	
0353	上諏訪	
0354	下諏訪	
0355	岡谷	
0358	みどり湖	
035c	塩尻	
035e	洗馬	
035f	日出塩	
0360	贄川	
0361	木曽平沢	
0363	奈良井	
0364	藪原	
0365	宮ノ越	
0366	原野	
0368	木曽福島	
0369	上松	
036a	倉本	
036b	須原	
036d	大桑	
036e	野尻	
036f	十二兼	
0370	南木曽	
0372	田立	
0373	坂下	
0374	落合川	
0375	中津川	
0377	美乃坂本	
0379	恵那	
037b	武並	
037d	釜戸	
037f	瑞浪	
0381	土岐市	
0383	多治見	
0385	古虎渓	
0387	定光寺	
0389	高蔵寺	
038b	神領	
038c	春日井	
038e	勝川	
038f	新守山	
0391	大曽根	
0392	千種	
0393	鶴舞	
0401	大宮	#unused
0403	宮原	
0405	上尾	
0406	北上尾	
0407	桶川	
0409	北本	
040b	鴻巣	
040c	北鴻巣	
040d	吹上	
040e	行田	
040f	熊谷	
0411	籠原	
0412	深谷	
0413	岡部	
0415	本庄	
0416	神保原	
0417	新町	
0419	倉賀野	
041a	高崎	
041b	北高崎	
041c	群馬八幡	
041d	安中	
041e	磯部	
0420	松井田	
0421	西松井田	
0422	横川	
0423	軽井沢	
0425	中軽井沢	
0426	信濃追分	
0427	御代田	
0428	平原	
042a	小諸	
042b	滋野	
042c	田中	
042d	大屋	
042e	上田	
0430	西上田	
0431	坂城	
0432	戸倉	
0433	屋代	
0434	篠ノ井	?
0435	今井	?
0436	川中島	?
0437	安茂里	?
0438	長野	?
0439	北長野	
043a	三才	
043b	豊野	
043c	牟礼	
043d	古間	
043f	黒姫	
0440	妙高高原	
0441	関山	
0442	二本木	
0444	新井	
0445	北新井	
0446	上越妙高	
0447	南高田	
0449	高田	
044a	春日山	
044b	直江津	
044c	黒井	
044e	犀潟	
044f	土底浜	
0450	潟町	
0451	上下浜	
0453	柿崎	
0454	米山	
0455	笠島	
0456	青海川	
0458	鯨波	
0459	柏崎	
045a	茨目	
045b	安田	
045d	北条	
045e	越後広田	
045f	長鳥	
0460	塚山	
0462	越後岩塚	
0463	来迎寺	
0464	前川	
0465	宮内	
0467	長岡	
0468	北長岡	
0469	押切	
046a	見附	
046c	帯織	
046d	東光寺	
046e	三条	
046f	東三条	
0470	燕三条	?
0471	保内	
0472	加茂	
0473	羽生田	
0474	田上	
0476	矢代田	
0477	古津	
0478	新津	
0479	さつき野	
047a	荻川	
047b	亀田	
047c	越後石山	
047d	新潟	
0501	上野	#unused
0502	日暮里	#unused
0503	三河島	
0504	南千住	
0506	北千住	
0507	綾瀬	
0508	亀有	
0509	金町	
050b	松戸	
050c	北松戸	
050d	馬橋	
050e	新松戸	
0510	北小金	
0511	南柏	
0512	柏	
0513	北柏	
0515	我孫子	
0516	天王台	
0518	取手	
051a	藤代	
051b	龍ケ崎市	2020-03-13/佐貫
051d	牛久	
051e	ひたち野うしく	
051f	荒川沖	
0521	土浦	
0523	神立	
0525	高浜	
0526	石岡	
0528	羽鳥	
052a	岩間	
052c	友部	
052d	内原	
052f	赤塚	
0530	偕楽園	#(臨)
0531	水戸	
0533	勝田	
0534	佐和	
0535	東海	
0536	大甕	
0538	常陸多賀	
0539	日立	
053a	小木津	
053b	十王	
053d	高萩	
053e	南中郷	
053f	磯原	
0540	大津港	
0542	勿来	
0543	植田	
0544	泉	
0545	湯本	
0547	内郷	
0548	いわき	
054a	草野	
054b	四ツ倉	
054c	久ノ浜	
054d	末続	
054f	広野	
0550	Jヴィレッジ	2019-04-19/
0551	木戸	
0552	竜田	
0554	富岡	
0556	夜ノ森	
0557	大野	
0559	双葉	
055a	浪江	
055b	桃内	
055c	小高	
055e	磐城太田	
055f	原ノ町	
0561	鹿島	
0563	日立木	
0564	相馬	
0565	駒ケ嶺	
0566	新地	
0568	坂元	
0569	山下	
056a	浜吉田	
056b	亘理	
056c	逢隈	
0601	門司港	
0602	小森江	
0603	門司	
0606	小倉	
0607	西小倉	
0609	九州工大前	
060a	戸畑	
060b	枝光	
060c	スペースワールド	
060d	八幡	
060e	黒崎	
0610	陣原	
0611	折尾	
0612	水巻	
0613	遠賀川	
0615	海老津	
0617	教育大前	
0618	赤間	
0619	東郷	
061a	東福間	
061c	福間	
061d	千鳥	
061e	古賀	
061f	ししぶ	
0620	新宮中央	
0621	福工大前	
0622	九産大前	
0623	香椎	
0624	千早	
0625	箱崎	
0626	吉塚	
0627	博多	
0628	竹下	
0629	笹原	
062a	南福岡	
062b	春日	
062c	大野城	
062d	水城	
062f	都府楼南	
0630	二日市	
0631	天拝山	
0632	原田	
0633	けやき台	
0634	基山	
0635	弥生が丘	
0636	田代	
0637	鳥栖	
0639	肥前旭	
063b	久留米	
063d	荒木	
063f	西牟田	
0641	羽犬塚	
0643	筑後船小屋	
0645	瀬高	
0647	南瀬高	
0649	渡瀬	
064a	吉野	
064b	銀水	
064d	大牟田	
064f	荒尾	
0651	南荒尾	
0653	長洲	
0655	大野下	
0657	玉名	
0659	肥後伊倉	
065b	木葉	
065d	田原坂	
065f	植木	
0661	西里	
0662	崇城大学前	
0663	上熊本	
0665	熊本	
0666	西熊本	2016-03-25/
0667	川尻	
0668	富合	
0669	宇土	
066a	松橋	
066c	小川	
066e	有佐	
0670	千丁	
0671	新八代	
0672	八代	
0691	川内	
0692	隈之城	
0694	木場茶屋	
0696	串木野	
0697	神村学園前	
0698	市来	
069a	湯之元	
069b	東市来	
069d	伊集院	
069f	薩摩松元	
06a0	上伊集院	
06a1	広木	
06a2	鹿児島中央	
06a4	鹿児島	
0701	小倉	#unused
0702	西小倉	#unused
0703	南小倉	
0704	城野	
0705	安部山公園	
0707	下曽根	
0709	朽網	
070b	苅田	
070d	小波瀬西工大前	
070e	行橋	
070f	南行橋	
0711	新田原	
0713	築城	
0715	椎田	
0717	豊前松江	
0719	宇島	
071b	三毛門	?
071c	吉富	?
071d	中津	?
071f	東中津	?
0720	今津	
0721	天津	
0723	豊前善光寺	
0725	柳ケ浦	
0726	豊前長洲	
0728	宇佐	
072a	西屋敷	
072c	立石	
072e	中山香	
0730	杵築	
0732	大神	
0734	日出	
0735	暘谷	
0736	豊後豊岡	
0738	亀川	
0739	別府大学	
073b	別府	
073c	東別府	
073e	西大分	
073f	大分	
0741	牧	
0742	高城	
0743	鶴崎	
0744	大在	
0746	坂ノ市	
0747	幸崎	
0748	佐志生	
0749	下ノ江	
074b	熊崎	
074c	上臼杵	
074d	臼杵	
074e	津久見	
0750	日代	
0751	浅海井	
0752	狩生	
0753	海崎	
0755	佐伯	
0756	上岡	
0757	直見	
0758	直川	
075a	重岡	
075b	宗太郎	
075c	市棚	
075d	北川	
075f	日向長井	
0760	北延岡	
0761	延岡	?
0762	南延岡	
0764	旭ケ丘	
0765	土々呂	
0766	門川	
0767	日向市	
0769	財光寺	
076a	南日向	
076b	美々津	
076c	東都農	
076e	都農	
076f	川南	
0770	高鍋	
0771	日向新富	
0773	佐土原	
0775	日向住吉	
0777	蓮ケ池	
0778	宮崎神宮	
077a	宮崎	
077b	南宮崎	
077c	加納	
077d	清武	
077f	日向沓掛	
0780	田野	
0781	青井岳	
0782	山之口	
0784	餅原	
0785	三股	
0786	都城	
0787	西都城	
0789	五十市	
078a	財部	
078b	北俣	
078c	大隅大川原	
078e	北永野田	
078f	霧島神宮	
0790	国分	
0791	隼人	
0793	加治木	
0794	錦江	
0795	帖佐	
0796	姶良	
0797	重富	
0799	竜ケ水	
079a	仙巌園	#expected
0901	米原	#unused
0902	坂田	
0903	田村	
0904	長浜	
0906	虎姫	
0907	河毛	
0908	高月	
0909	木ノ本	
090b	余呉	
090c	近江塩津	
090d	新疋田	
090f	敦賀	
0910		2024-03-15/南今庄
0911		2024-03-15/今庄
