駅コード	駅名	備考
0e39	大楽毛	
0e3a	新大楽毛	
0e3b	新富士	
0e3c	釧路	
0e3e	東釧路	
0e3f	武佐	
0e40	別保	
0e41	上尾幌	
0e43	尾幌	
0e44	門静	
0e45	厚岸	
0e00		2022-03-11/糸魚沢
0e48	茶内	
0e4a	浜中	
0e4b	姉別	
0e4c	厚床	
0e00		2019-03-15/初田牛
0e4f	別当賀	
0e50	落石	
0e51	昆布盛	
0e52	西和田	
0e55		2025-03-14/東根室
0e56	根室	
0ecf	新函館北斗	?
0f01	旭川	#unused
0f02	旭川四条	
0f03	新旭川	
0f05	永山	
0f07	北永山	
0f08		2021-03-12/南比布
0f09	比布	
0f00		2021-03-12/北比布
0f0c	蘭留	
0f0d	塩狩	
0f0e	和寒	
0f10	剣淵	
0f12	士別	
0f13		2021-03-12/下士別
0f14	多寄	
0f15	瑞穂	
0f16	風連	
0f17	名寄高校	2022-03-11/東風連
0f18	名寄	
0f19	日進	
0f00		2021-03-12/北星
0f1d	智恵文	
0f1e	智北	
0f1f		2021-03-12/南美深
0f20	美深	
0f21		2024-03-15/初野
0f22		2021-03-12/紋穂内
0f23		2024-03-15/恩根内
0f24	豊清水(信)	2021-03-12/豊清水
0f25	天塩川温泉	
0f26	咲来	
0f27	音威子府	
0f28	筬島	
0f29	佐久	
0f2b	天塩中川	
0f2e	問寒別
0f2f	糠南
0f31	雄信内(信)	2025-03-14/雄信内
0f32		2021-03-12/安牛
0f33		2025-03-14/南幌延
0f34		2021-03-12/上幌延
0f35	幌延	
0f37	下沼	
0f38	豊富	
0f3b	兜沼	
0f3c	勇知	
0f3e		2025-03-14/抜海
0f3f	南稚内	
0f40	稚内	
1001	高松	
1002	香西	
1003	鬼無	
1004	端岡	
1006	国分	
1007	讃岐府中	
1008	鴨川	
1009	八十場	
100b	坂出	
100c	宇多津	
100d	丸亀	
100e	讃岐塩屋	
1010	多度津	
1011	海岸寺	
1012	津島ノ宮	#(臨)
1013	詫間	
1015	みの	
1016	高瀬	
1017	比地大	
1018	本山	
101a	観音寺	
101b	豊浜	
101c	箕浦	
101d	川之江	
101f	伊予三島	
1020	伊予寒川	
1021	赤星	
1022	伊予土居	
1024	関川	
1025	多喜浜	
1026	新居浜	
1027	中萩	
1029	伊予西条	
102a	石鎚山	
102b	伊予氷見	
102c	伊予小松	
102e	玉之江	
102f	壬生川	
1030	伊予三芳	
1031	伊予桜井	
1033	伊予富田	
1034	今治	
1035	波止浜	
1036	波方	
1038	大西	
1039	伊予亀岡	
103a	菊間	
103b	浅海	
103c	大浦	
103d	伊予北条	
103e	柳原	
103f	粟井	
1040	光洋台	
1041	堀江	
1042	伊予和気	
1043	三津浜	
1044	松山	
1045	市坪	
1046	北伊予	
1047	南伊予	2020-03-13/伊予横田
1048	伊予横田	2020-03-13/鳥ノ木
1049	鳥ノ木	2020-03-13/伊予市
104a	伊予市	2020-03-13/向井原
104b	向井原	
104c	高野川	
104d	伊予上灘	
104e	下灘	
104f	串	
1051	喜多灘	
1052	伊予長浜	
1053	伊予出石	
1054	伊予白滝	
1056	八多喜	
1057	春賀	
1058	五郎	
1059	伊予大洲	
105b	西大洲	
105c	伊予平野	
105d	千丈	
105e	八幡浜	
1060	双岩	
1061	伊予石城	
1062	上宇和	
1063	卯之町	
1065	下宇和	
1066	立間	
1067	伊予吉田	
1068	高光	
106a	北宇和島	
106b	宇和島	
1101	多度津	#unused
1102	金蔵寺	
1103	善通寺	
1104	琴平	
1106	塩入	
1107	黒川	
1108	讃岐財田	
1109	坪尻	
110b	箸蔵	
110c	佃	
110d	阿波池田	
110e	三縄	
1110	祖谷口	
1111	阿波川口	
1112	小歩危	
1113	大歩危	
1115	土佐岩原	
1116	豊永	
1117	大田口	
1118	土佐穴内	
111a	大杉	
111b	土佐北川	
111c	角茂谷	
111d	繁藤	
111f	新改	
1120	土佐山田	
1121	山田西町	
1122	土佐長岡	
1124	後免	
1125	土佐大津	
1126	布師田	
1127	土佐一宮	
1129	薊野	
112a	高知	
112b	入明	
112c	円行寺口	
112d	旭	
112e	高知商業前	
112f	朝倉	
1130	枝川	
1131	伊野	
1132	波川	
1133	小村神社前	
1134	日下	
1135	岡花	
1136	土佐加茂	
1137	西佐川	
1138	佐川	
1139	襟野々	
113a	斗賀野	
113b	吾桑	
113d	多ノ郷	
113e	大間	
113f	須崎	
1140	土佐新荘	
1142	安和	
1143	土佐久礼	
1144	影野	
1145	六反地	
1147	仁井田
1148	窪川	
1181	窪川	
1183	若井	
1201	福島	#unused
1202	笹木野	
1203	庭坂	
1207	板谷	
1208	峠	
120a	大沢	
120c	関根	
120e	米沢	
1210	置賜	
1211	高畠	
1213	赤湯	
1215	中川	
1216	羽前中山	
1218	かみのやま温泉	
1219	茂吉記念館前	
121a	蔵王	
121c	山形	
121d	北山形	
121e	羽前千歳	
121f	南出羽	
1220	漆山	
1221	高擶	
1222	天童南	
1223	天童	
1224	乱川	
1226	神町	
1227	さくらんぼ東根	
1228	東根	
1229	村山	
122b	袖崎	
122c	大石田	
122d	北大石田	
122e	芦沢	
1230	舟形	
1232	新庄	
1234	泉田	
1235	羽前豊里	
1236	真室川	
1237	釜淵	
1239	大滝	
123a	及位	
123b	院内	
123c	横堀	
123e	三関	
123f	上湯沢	
1240	湯沢	
1241	下湯沢	
1243	十文字	
1244	醍醐	
1245	柳田	
1246	横手	
1248	後三年	
1249	飯詰	
124a	大曲	
124b	神宮寺	
124d	刈和野	
124e	峰吉川	
124f	羽後境	
1250	大張野	
1252	和田	
1253	四ツ小屋	
1254	秋田
1255	泉外旭川	2021-03-12/土崎
1256	土崎	2021-03-12/
1257	上飯島	
1258	追分	
1259	大久保	
125a	羽後飯塚	
125b	井川さくら	
125c	八郎潟	
125d	鯉川	
125e	鹿渡	
125f	森岳	
1261	北金岡	
1262	東能代	
1263	鶴形	
1264	富根	
1266	二ツ井	
1267	前山	
1268	鷹ノ巣	
1269	糠沢	
126b	早口	
126c	下川沿	
126d	大館	
126e	白沢	
1270	陣場	
1271	津軽湯の沢	
1272	碇ケ関	
1273	長峰	
1275	大鰐温泉	
1276	石川	
1277	弘前
1278	撫牛子	
127a	川部	
127b	北常盤	
127c	浪岡	
127d	大釈迦	
127f	鶴ケ坂	
1280	津軽新城	
1282	新青森	
1301	新津	#unused
1302	京ケ瀬	
1303	水原	
1304	神山	
1306	月岡	
1307	中浦	
1308	新発田	
1309	加治	
130b	金塚	
130c	中条	
130d	平木田	
130e	坂町	
1310	平林	
1311	岩船町	
1312	村上	
1313	間島	
1315	越後早川	
1316	桑川	
1317	今川	
1318	越後寒川	
131a	勝木	
131b	府屋	
131c	鼠ケ関	
131d	小岩川	
131f	あつみ温泉	
1320	五十川	
1321	小波渡	
1322	三瀬	
1324	羽前水沢	
1325	羽前大山	
1326	鶴岡	
1327	藤島	
1329	西袋	
132a	余目	
132b	北余目	
132c	砂越	
132e	東酒田	
132f	酒田	
1330	本楯	
1331	南鳥海	
1333	遊佐	
1334	吹浦	
1335	女鹿	
1336	小砂川	
1337	上浜	
1338	象潟	
1339	金浦	
133a	仁賀保	
133b	西目	
133c	羽後本荘	
133d	羽後岩谷	
133e	折渡	
133f	羽後亀田	
1340	岩城みなと	
1341	道川	
1342	下浜	
1343	桂根	
1344	新屋	
1345	羽後牛島	
1401	高松	#unused
1402	昭和町	
1403	栗林公園北口	
1405	栗林	
1406	木太町	
1407	屋島	
1409	古高松南	
140a	八栗口	
140b	讃岐牟礼	
140c	志度	
140d	オレンジタウン	
140e	造田	
140f	神前	
1411	讃岐津田	
1412	鶴羽	
1413	丹生	
1415	三本松	
1416	讃岐白鳥	
1417	引田	
1419	讃岐相生	
141a	阿波大宮	
141b	板野	
141d	阿波川端	
141e	板東	
141f	池谷	
1421	勝瑞	
1422	吉成	
1425	佐古	
1426	徳島	
1427	阿波富田	
1429	二軒屋	
142a	文化の森	
142b	地蔵橋	
142d	中田	
142e	南小松島	
1431	阿波赤石	
1432	立江	
1435	羽ノ浦	
1436	西原	
1437	阿波中島	
1439	阿南	
143a	見能林	
143b	阿波橘	
143d	桑野	
143e	新野	
143f	阿波福井	
1340	由岐	
1341	田井ノ浜	#(臨)
1342	木岐	
1343	北河内	
1345	日和佐	
1346	山河内	
1347	辺川	
1349	牟岐	
134a	鯖瀬	
134b	浅川	
134d	阿波海南	
1501	高崎	#unused
1502	高崎問屋町	
1503	井野	
1504	新前橋	
1505	群馬総社	
1506	八木原	
1507	渋川	
1508	敷島	
1509	津久田	
150b	岩本	
150c	沼田	
150d	後閑	
1510	上牧	
1511	水上	
1512	湯檜曽	
1513	土合	
1515	土樽	
1516	越後中里	
1517	岩原スキー場前	
1518	越後湯沢	
1519	石打	
151a	大沢	
151b	上越国際スキー場前	
151c	塩沢	
151d	六日町	
151f	五日町	
1520	浦佐	
1521	八色	
1522	小出	
1524	越後堀之内	
1525	北堀之内	
1526	越後川口	
1601	御茶ノ水	#unused
1602	秋葉原	#unused
1603	浅草橋	
1604	両国	
1606	錦糸町	
1607	亀戸	
1608	平井	
1609	新小岩	
160b	小岩	
160c	市川	
160d	本八幡	
160e	下総中山	
1610	西船橋	
1611	船橋	
1612	東船橋	
1613	津田沼	
1614	幕張本郷	
1615	幕張	
1616	新検見川	
1617	稲毛	
1618	西千葉	
161a	千葉	
161b	東千葉	
161d	都賀	
161f	四街道	
1621	物井	
1622	佐倉	
1623	南酒々井	
1624	榎戸	
1626	八街	
1628	日向	
162a	成東	
162c	松尾	
162d	横芝	
162e	飯倉	
162f	八日市場	
1631	干潟	
1632	旭	
1633	飯岡	
1634	倉橋	
1636	猿田	
1637	松岸	
1638	銚子	
1703	ガーラ湯沢	#(臨)
1801	川崎	#unused
1802	尻手	
1803	矢向	
1804	鹿島田	
1806	平間	
1807	向河原	
1808	武蔵小杉	
1809	武蔵中原	
180b	武蔵新城	
180c	武蔵溝ノ口	
180d	津田山	
180e	久地	
1810	宿河原	
1811	登戸	
1812	中野島	
1813	稲田堤	
1815	矢野口	
1816	稲城長沼	
1817	南多摩	
1818	府中本町	
181a	分倍河原	
181b	西府	
181c	谷保	
181d	矢川	
181e	西国立	
181f	立川	#unused
1820	西立川	
1821	東中神	
1822	中神	
1824	昭島	
1825	拝島	
1826	牛浜	
1827	福生	
1829	羽村	
182a	小作	
182b	河辺	
182c	東青梅	
182e	青梅	
182f	宮ノ平	
1830	日向和田	
1831	石神前	
1833	二俣尾	
1834	軍畑	
1835	沢井	
1836	御嶽	
1838	川井	
1839	古里	
183a	鳩ノ巣	
183b	白丸	
183d	奥多摩	
1901	鶴見	#unused
1902	国道	
1903	鶴見小野	
1904	弁天橋	
1906	浅野	
1907	安善	
1908	武蔵白石	
1909	浜川崎	
190b	昭和	
190c	扇町	
1a01	川崎	#unused
1a02	尻手	#unused
1a03	八丁畷	
1a04	川崎新町	
1a05	小田栄	
1b01	浅野	#unused
1b02	新芝浦	
1b03	海芝浦	
1c01	武蔵白石	#unused
1c02	大川	
1d04	本郷台	
1d06	港南台	
1d07	洋光台	
1d08	新杉田	
1d09	磯子	
1d0a	根岸	
1d0c	山手	
1d0d	石川町	
1d0e	関内	
1d0f	桜木町	
1d13	大口	
1d14	菊名	
1d16	新横浜	
1d17	小机	
1d19	鴨居	
1d1a	中山	
1d1b	十日市場	
1d1c	長津田	
1d1d	成瀬	
1d1e	町田	
1d1f	古淵	
1d20	淵野辺	
1d21	矢部	
1d22	相模原	
1d23	橋本	
1d25	相原	
1d26	八王子みなみ野	
1d27	片倉	
1d2a	北八王子	
1d2b	小宮	
1d2e	東福生	
1d30	箱根ケ崎	
1d31	金子	
1d33	東飯能	
1d35	高麗川	
1d37	毛呂	
1d38	越生	
1d3a	明覚	
1d3c	小川町	
1d3d	竹沢	
1d3e	折原	
1d3f	寄居	
1d41	用土	
1d42	松久	
1d43	児玉	
1d44	丹荘	
1d46	群馬藤岡	
1d47	北藤岡	
1e01	大船	#unused
1e02	北鎌倉	
1e03	鎌倉	
1e04	逗子	
1e06	東逗子	
1e07	田浦	
1e08	横須賀	
1e09	衣笠	
1e0b	久里浜	
1f01	茅ケ崎	#unused
1f02	北茅ケ崎	
1f03	香川	
1f04	寒川	
1f06	宮山	
1f07	倉見	
1f08	門沢橋	
1f09	社家	
1f0b	厚木	
1f0c	海老名	
1f0d	入谷	
1f0e	相武台下	
1f0f	下溝	
1f10	原当麻	
1f12	番田	
1f13	上溝	
1f14	南橋本	
1f42	大元	
1f43	備前西市	
1f44	妹尾	
1f46	備中箕島	
1f47	早島	
1f48	久々原	
1f49	茶屋町	
1f4b	彦崎	
1f4c	備前片岡	
1f4d	迫川	
1f4e	常山	
1f50	八浜	
1f51	備前田井	
1f52	宇野	
1f81	郡山	#unused
1f82	郡山富田	2017-03-31/喜久田
1f83	喜久田	2017-03-31/
1f84	安子ケ島	
1f85	磐梯熱海	
1f86	中山宿	
1f87	上戸	
1f88	猪苗代湖畔	#(臨)
1f89	関都	
1f8a	川桁	
1f8b	猪苗代	
1f8c	翁島	
1f8d	磐梯町	
1f8e	東長原	
1f90	広田	
1f91	会津若松	
1f92	堂島	
1f93	笈川	
1f95	塩川	
1f96	姥堂	
1f97	会津豊川	
1f98	喜多方	
1f9a	山都	
1f9b	荻野	
1f9c	尾登	
1f9d	野沢	
1f9f	上野尻	
1fa0	徳沢	
1fa1	豊実	
1fa2	日出谷	
1fa4	鹿瀬	
1fa5	津川	
1fa6	三川	
1fa7	五十島	
1fa9	東下条	
1faa	咲花	
1fab	馬下	
1fac	猿和田	
1fae	五泉
1faf	北五泉
1fb0	新関
1fb1	東新津
1fc1	大沼	#unused
1fc2		2022-03-11/池田園
1fc3		2022-03-11/流山温泉
1fc4	銚子口(信)	2022-03-11/銚子口
1fc5	鹿部	
1fc6	渡島沼尻	
1fc8	渡島砂原	
1fc9	掛澗	
1fca	尾白内	
1fcc	東森	
2041	岡山	#unused
2042	備前三門	
2043	大安寺	
2044	備前一宮	
2046	吉備津	
2047	備中高松	
2048	足守	
2049	服部	
204b	東総社	
204c	総社	
2081	いわき	#unused
2082	赤井	
2083	小川郷	
2084	江田	
2085	川前	
2086	夏井	
2087	小野新町	
2088	神俣	
2089	菅谷	
208b	大越	
208c	磐城常葉	
208d	船引	
208e	要田	
2090	三春	
2091	舞木	
2101	熱海	#unused
2102	来宮	
2103	伊豆多賀	
2104	網代	
2106	宇佐美	
2107	伊東	
2141	岡山	#unused
2142	法界院	
2143	備前原	
2144	玉柏	
2146	牧山	
2147	野々口	
2148	金川	
2149	建部	
214b	福渡	
214c	神目	
214d	弓削	
214e	誕生寺	
2150	小原	
2151	亀甲	
2152	佐良山	
2153	津山口	
2155	津山	
2156	東津山	
2157	高野	
2158	美作滝尾	
215a	三浦	
215b	美作加茂	
215c	知和	
215d	美作河井	
215f	那岐	
2160	土師	
2161	智頭	
2162	因幡社	
2164	用瀬	
2165	鷹狩	
2166	国英	
2167	河原	
2169	郡家	
216a	東郡家	
216b	津ノ井	
2181	会津若松	#unused
2182	七日町	
2183	西若松	
2184	会津本郷	
2186	会津高田	
2187	根岸	
2188	新鶴	
2189	若宮	
218b	会津坂下	
218c	塔寺	
218d	会津坂本	
218e	会津柳津	
2190	郷戸	
2191	滝谷	
2192	会津桧原	
2193	会津西方	
2195	会津宮下	
2196	早戸	
2197	会津水沼	
2198	会津中川	
219a	会津川口	
219b	本名	
219c	会津越川	
219d	会津横田	
219f	会津大塩	
21a0	会津塩沢	
21a1	会津蒲生	
21a2	只見	
21a5	大白川	
21a7	入広瀬	
21a9	上条	
21aa	越後須原	
21ab	魚沼田中	
21ac	越後広瀬	
21ae	藪神	
2201	大垣	#unused
2202	荒尾	
2203	美濃赤坂	
2301	尼崎	#unused
2303	加島	
2305	御幣島	
2307	海老江	
2308	新福島	
2309	北新地	
230b	大阪天満宮	
230d	大阪城北詰	
2341	倉敷	#unused
2342	清音	
2343	総社	
2344	豪渓	
2346	日羽	
2347	美袋	
2348	備中広瀬	
2349	備中高梁	
234b	木野山	
234c	備中川面	
234d	方谷	
234e	井倉	
2350	石蟹	
2351	新見	
2352	布原	
2353	備中神代	
2554	足立	
2556	新郷	
2557	上石見	
2558	生山	
2559	上菅	
255b	黒坂	
255c	根雨	
255d	武庫	
255e	江尾	
2560	伯耆溝口	
2561	岸本	
2381	仙台	#unused
2382	榴ケ岡	
2383	宮城野原	
2384	陸前原ノ町	
2385	苦竹	
2386	小鶴新田	
2387	福田町	
2388	陸前高砂	
2389	中野栄	
238a	多賀城	
238b	下馬	
238c	西塩釜	
238d	本塩釜	
238e	東塩釜	
2390	陸前浜田	
2391	松島海岸	
2392	高城町	
2393	手樽	
2395	陸前富山	
2396	陸前大塚	
2397	東名	
2398	野蒜	
2399	陸前小野	2016-03-25/
239a	鹿妻	2016-03-25/陸前小野
239b	矢本	2016-03-25/鹿妻
239c	東矢本	2016-03-25/矢本
239d	陸前赤井	2016-03-25/東矢本
239e	石巻あゆみ野	2016-03-25/陸前赤井
239f	蛇田	
23a0	陸前山下	
23a1	石巻	
2401	拝島	#unused
2402	熊川	
2403	東秋留	
2404	秋川	
2406	武蔵引田	
2407	武蔵増戸	
2408	武蔵五日市	
2441	備中神代	#unused
2442	坂根	
2443	市岡	
2444	矢神	
2446	野馳	
2447	東城	
2448	備後八幡	
2449	内名	
244b	小奴可	
244c	道後山	
244d	備後落合	
244e	比婆山
2450	備後西城	
2451	平子	
2452	高	
2453	備後庄原	
2455	備後三日市	
2556	七塚	
2557	山ノ内	
2558	下和知	
255a	塩町	
255b	神杉	
255c	八次	
245d	三次	
245f	西三次	
2460	志和地	
2461	上川立	
2462	甲立	
2464	吉田口	
2465	向原	
2466	井原市	
2467	志和口	
2469	上三田	
246a	中三田	
246b	白木山	
246c	狩留家	
246e	上深川	
246f	中深川	
2470	下深川	
2471	玖村	
2473	安芸矢口	
2474	戸坂	
2475	矢賀	
2481	小牛田	#unused
2482	上涌谷	
2483	涌谷	
2485	前谷地	
2486	佳景山	
2487	鹿又	
2488	曽波神	
248b	陸前稲井	
248c	渡波	
248d	万石浦	
248e	沢田	
248f	浦宿	
2490	女川	
24c1	桑園	#unused
24c2	八軒	
24c3	新川	
24c5	新琴似	
24c6	太平	
24c8	百合が原	
24c9	篠路	
24cb	拓北	
24cd	あいの里教育大	
24ce	あいの里公園	
24cf	ロイズタウン	2022-03-11/
24d0	太美	2022-03-11/石狩太美
24d2	当別	2022-03-11/石狩当別
24d4	北海道医療大学	
2501	品川	#unused
2502	大崎	
2503	五反田	
2504	目黒	
2506	恵比寿	
2507	渋谷	
2508	原宿	
2509	代々木	?
250a	新宿	?
250c	新大久保	
250d	高田馬場	
250e	目白	
250f	池袋	
2511	大塚	
2512	巣鴨	
2513	駒込	
2541	福山	#unused
2542	備後本庄	
2543	横尾	
2544	神辺	
2546	湯田村	
2547	道上	
2548	万能倉	
2549	駅家	
254b	近田	
254c	戸手	
254d	上戸手	
254e	新市	
2550	高木	
2551	鵜飼	
2552	府中	
2553	下川辺	
2555	中畑	
2556	河佐	
2558	備後三川	
255a	備後矢野	
255b	上下	
255c	甲奴	
255d	梶田	
255f	備後安田	
2560	吉舎	
2561	三良坂	
2581	前谷地	?
2582	和渕	
2583	のの岳	
2584	陸前豊里	
2586	御岳堂	
2587	柳津	
25c1	白石	#unused
25c2	平和	
25c3	新札幌	
25c5	上野幌	
25c7	北広島	
25c9	島松	
25ca	恵み野	
25cb	恵庭	
25cc	サッポロビール庭園	
25cd	長都	
25cf	千歳	
25d0	南千歳	
25d2	美々(信)	2017-03-03/美々
25d4	植苗	
2603	尾久	
2606	十条	
2607	板橋	
2641	三原	#unused
2642	須波	
2643	安芸幸崎	
2644	忠海	
2645	安芸長浜	
2646	大乗	
2647	竹原	
2648	吉名	
2649	安芸津	
264b	風早	
264c	安浦	
264d	安登	
264e	安芸川尻	
264f	仁万	
2650	広	
2651	新広	
2652	安芸阿賀	
2653	呉	
2654	川原石	
2655	吉浦	
2656	かるが浜	
2657	天応	
2658	呉ポートピア	
2659	小屋浦	
265a	水尻	
265b	坂	
265c	矢野	
2581	一ノ関	#unused
2683	真滝	
2685	陸中門崎	
2686	岩ノ下	
2687	陸中松川	
2688	猊鼻渓	
2689	柴宿	
268a	摺沢	
268b	千厩	
268c	小梨	
268d	矢越	
268f	折壁	
2690	新月	
2692	気仙沼	
26c1	南千歳	#unused
26c2	新千歳空港	
2701	大宮	#unused
2703	日進	
2704	西大宮	
2705	指扇	
2707	南古谷	
2709	川越	
270a	西川越	
270b	的場	
270c	笠幡	
270d	武蔵高萩	
2741	岩国	#unused
2742	西岩国	
2743	川西	
2744	柱野	
2745	欽明路	
2746	玖珂	
2747	周防高森	
2748	米川	
2749	高水	
274b	勝間	
274c	大河内	
274d	周防久保	
274e	生野屋	
2750	周防花岡	
2781	花巻	#unused
2782	似内	
2783	新花巻	
2784	小山田	
2786	土沢	
2787	晴山	
2788	岩根橋	
2789	宮守	
278b	柏木平	
278c	鱒沢	
278d	荒谷前	
278e	岩手二日町	
2790	綾織	
2791	遠野	
2792	青笹	
2793	岩手上郷	
2795	平倉	
2796	足ケ瀬	
2797	上有住	
2798	陸中大橋	
279a	洞泉	
279b	松倉	
279c	小佐野	
279d	釜石	
27c2	あおば通	
2801	我孫子	#unused
2803	東我孫子	
2804	湖北	
2805	新木	
2807	布佐	
2808	木下	
280a	小林	
280c	安食	
280e	下総松崎	
2810	成田	
2812	酒々井	
2881	盛岡	#unused
2882	上盛岡	
2883	山岸	
2884	上米内	
2888	区界	
2889	松草	
288c	川内	
288d	箱石	
288e	陸中川井	
288f	腹帯	
2891	茂市	
2892	蟇目	
2893	花原市	
2895	千徳	
2896	宮古	
290c	北府中	
290f	新小平	
2911	新秋津	
2912	東所沢	
2914	新座	
2916	北朝霞	
2918	西浦和	
2919	武蔵浦和	
291c	東浦和	
291e	東川口	
291f	南越谷	
2920	越谷レイクタウン	
2921	吉川	
2922	吉川美南	
2923	新三郷	
2924	三郷	
2925	南流山	
2926	新松戸	#unused
2927	新八柱	
2928	東松戸	
2929	市川大野	
292a	船橋法典	
2940	上嘉川	?
2943	深溝	
2944	周防佐山	
2946	岩倉	
2847	阿知須	
2848	岐波	
2849	丸尾	
284b	床波	
284c	常盤	
284d	草江	
294e	宇部岬	
2950	東新川	
2951	琴芝	
2952	宇部新川	
2953	居能	
2955	岩鼻	
2a0c	新川崎	
2a0d	武蔵小杉	
2a0e	西大井	
2a15	新日本橋	
2a16	馬喰町	
2a43	妻崎	
2a44	長門長沢	
2a46	雀田	
2a47	小野田港	
2a48	南小野田	
2a49	南中川	
2a4b	目出	
2a81	八戸	#unused
2a82	長苗代	
2a83	本八戸	
2a84	小中野	
2a86	陸奥湊	
2a87	白銀	
2a88	鮫	
2a8a	陸奥白浜	
2a8b	種差海岸	
2a8c	大久喜	
2a8d	金浜	
2a8e	大蛇	
2a90	階上	
2a91	角の浜	
2a92	平内	
2a93	種市	
2a96	玉川	
2a97	宿戸	
2a98	陸中八木	
2a99	有家	
2a9a	陸中中野	
2a9b	侍浜	
2a9c	陸中夏井	
2a9d	久慈	
2ac1	長万部	#unused
2ac3	静狩	
2ac4	小幌	
2ac5	礼文	
2ac7	大岸	
2ac8	豊浦	
2ac9	洞爺	
2aca	有珠	
2acb	長和	
2acd	伊達紋別	
2ace	北舟岡	
2acf	稀府	
2ad0	黄金	
2ad2	崎守	
2ad3	本輪西	
2ad4	東室蘭	
2ad5	鷲別	
2ad7	幌別	
2ad9	富浦	
2ada	登別	
2adb	虎杖浜	
2adc	竹浦	
2ade	北吉原	
2adf	萩野	
2ae0	白老	
2ae1	社台	
2ae3	錦岡	
2ae5	糸井	
2ae7	青葉	
2ae9	苫小牧	
2aeb	沼ノ端	
2aec	遠浅	
2aed	早来	
2aee	安平	
2aef	追分	
2af1	三川	
2af2	古山	
2af3	由仁	
2af4	栗山	
2af6	栗丘	
2af7	栗沢	
2af8	志文	
2b41	厚狭	#unused
2b42	湯ノ峠	
2b43	厚保	
2b44	四郎ケ原	
2b46	南大嶺	
2b47	美祢	
2b48	重安	
2b49	於福	
2b4b	渋木	
2b4c	長門湯本	
2b4d	板持	
2b4e	長門市	#unused
2b4f	仙崎
2b81	野辺地	#unused
2b82	北野辺地	
2b83	有戸	
2b84	吹越	
2b86	陸奥横浜	
2b87	有畑	
2b88	近川	
2b89	金谷沢	
2b8b	赤川	
2b8c	下北	
2b8d	大湊	
2ba4	羽沢横浜国大	
2bc2	輪西	
2bc3	御崎	
2bc4	母恋	
2bc6	室蘭	
2c01	渋川	#unused
2c02	金島	
2c03	祖母島	
2c04	小野上	
2c05	小野上温泉	
2c06	市城	
2c07	中之条	
2c08	群馬原町	
2c09	郷原	
2c0b	矢倉	
2c0c	岩島	
2c0d	川原湯温泉	
2c0e	長野原草津口	
2c10	群馬大津	
2c11	羽根尾	
2c12	袋倉	
2c13	万座・鹿沢口	
2c15	大前	
2c41	周防下郷	
2c42	上郷	
2c43	仁保津	
2c44	大歳	
2c46	矢原	
2c47	湯田温泉	
2c48	山口	
2c49	上山口	
2c4b	宮野	
2c4c	仁保	
2c4d	篠目	
2c4e	長門峡	
2c50	渡川	
2c51	三谷	
2c52	名草	
2c53	地福	
2c55	鍋倉	
2c56	徳佐	
2c57	船平山	
2c58	津和野	
2c5a	青野山	
2c5b	日原	
2c5c	青原	
2c5d	東青原	
2c5f	石見横田	
2c60	本俣賀	
2d03	前橋	
2d05	前橋大島	
2d06	駒形	
2d08	伊勢崎	
2d0b	国定	
2d0d	岩宿	
2d10	桐生	
2d12	小俣	
2d15	山前	
2d18	足利	
2d1a	あしかがフラワーパーク	2018-03-31/
2d1b	富田	
2d1c	佐野	
2d20	岩舟	
2d21	大平下	
2d22	栃木	
2d24	思川	
2d27	小田林	
2d28	結城	
2d29	東結城	
2d2a	川島	
2d2b	玉戸	
2d2c	下館	
2d2d	新治	
2d2e	大和	
2d2f	岩瀬	
2d30	羽黒	
2d31	福原	
2d32	稲田	
2d33	笠間	
2d34	宍戸	
2d41	横川	#unused
2d42	三滝	
2d43	安芸長束	
2d44	下祇園	
2d46	古市橋	
2d47	大町	
2d48	緑井	
2d49	七軒茶屋	
2d4a	梅林	
2d4b	上八木	
2d4c	中島	
2d4d	可部	
2d4e	河戸帆待川	
2d4f	あき亀山	
2d81	槻木	
2d83	東船岡	
2d85	岡	
2d87	横倉	
2d89	角田	
2d8b	南角田	
2d8d	北丸森	
2d8f	丸森	
2d91	あぶくま	
2d93	兜	
2d95	富野	
2d97	やながわ希望の森公園前	
2d99	梁川	
2d9b	新田	
2d9d	二井田	
2d9f	大泉	
2da1	保原	
2da3	上保原	
2da5	高子	
2da7	向瀬上	
2da9	瀬上	
2daa	福島学院前	
2dab	卸町	
2dad	福島	
	大聖寺	?
	動橋	?
	粟津	?
2e4b	加賀温泉	
2e54	小松	
	明峰	?
	能美根上	?
	小舞子	?
	美川	?
	加賀笠間	?
	西松任	?
2e69	松任	
	野々市	?
2e6f	西金沢	
2e72	金沢	
2e75	東金沢	
2e78	森本	
2e7b	津幡	
2e7e	倶利伽羅	
2e81	仙台	#unused
2e82	東照宮	
2e83	北仙台	
2e84	北山	
2e85	東北福祉大前	
2e86	国見	
2e87	葛岡	
2e88	陸前落合	
2e89	愛子	
2e8c	陸前白沢	
2e8d	熊ケ根	
2e8f	作並	
2e91	奥新川	
2e92	面白山高原	
2e94	山寺	
2e96	高瀬	
2e97	楯山	
2ec4	東追分(信)	2016-03-25/東追分
2ec5	川端	
2ec7	滝ノ上(信)	2024-03-15/滝ノ上
2ec9	新夕張	
2ecc	占冠	
2ecd	トマム	
2f01	宇都宮	#unused
2f02	鶴田	
2f03	鹿沼	
2f04	文挟	
2f06	下野大沢	
